Problem,Policy,Num_cons,thresh_overlap,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
blockedqueens_blockedqueens481721286911,Sets,1,0.25,3590.63,0.665,0.0,3590.57,1.728,0.0,0.0,27501633.0,1.0,0.0,0.001136
blackhole_PN-14,Sets,1,0.0,,53.227,0.0,,59.55,,0.0,,1.0,,
blackhole_PN-100,2,-1,-1.0,3590.33,0.24,0.0,3584.3,4.672,0.0,0.0,73451340.0,1.0,0.0,0.008152
golfers2_ord04-9-5-2,2,-1,-1.0,0.044639,0.046,0.0,0.036384,2.061,1.0,0.0,53.0,0.0,1.0,0.001702
pegSolitaireAction_pegSolitaire3_3,2,-1,-1.0,46.4694,8.079,0.0,45.7402,25.681,1.0,0.0,133564.0,0.0,1.0,0.075798
coprime_25,Sets,1,1.0,,,0.0,,1200.001,,1.0,,,,
stilllife_mdsl_12,Sets,2,0.25,3585.94,66.964,0.0,3566.73,70.582,1.0,0.0,370762.0,1.0,23.0,1.93746
quasiGroup6_quasiGroupX_21,baseline,-1,-1.0,3590.49,,0.0,3589.92,5.574,0.0,0.0,10813529.0,1.0,0.0,0.012433
sonet2_sonet6-4,Sets,1,0.75,3591.1,1.004,0.0,3591.09,1.716,1.0,0.0,221540561.0,1.0,1.0,0.00237
blockedqueens-strong_blockedqueens501642448840,Sets,2,1.0,1270.77,0.023,0.0,1270.7,1.254,0.0,0.0,9409771.0,0.0,0.0,0.002834
blockedqueens-strong_blockedqueens501642454142,Sets,1,0.25,0.029463,0.015,0.0,0.0,1.214,0.0,0.0,0.0,0.0,0.0,0.0
sudoku_sudoku3,Sets,2,1.0,0.038775,0.041,0.0,0.037721,0.511,1.0,0.0,3.0,0.0,1.0,0.000256
n-queens_n_queens_8,Sets,3,0.75,0.041329,0.01,0.0,0.04005,0.265,1.0,0.0,26.0,0.0,1.0,0.000283
blackhole_PN-25,Sets,3,0.25,,,0.0,,1200.002,,1.0,,,,
stilllife_mdsl_8,Sets,3,1.0,336.395,26.155,0.0,335.998,27.096,1.0,0.0,1665351.0,0.0,27.0,0.042762
killer_16-sol61,2,-1,-1.0,63.0433,3.977,0.0,62.6992,5.362,1.0,0.0,400641.0,0.0,1.0,0.017534
nlinkedseq_nlinkedseq-60-40,Sets,3,0.25,3591.28,9.967,0.0,3591.27,10.341,0.0,0.0,352679580.0,1.0,0.0,0.000496
blockedqueens-strong_blockedqueens281449800566,Sets,2,0.25,0.986095,0.027,0.0,0.966795,0.875,1.0,0.0,13389.0,0.0,1.0,0.000928
PlottingModelA_7_7_5_seed15_44_4,Sets,1,0.0,,,0.0,,1200.16,,1.0,,,,
