Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes
blockedqueens-strong_blockedqueens281449798304,2,0.533,0.013,0.0,0.803,0.0,0.0,0.0,0.0,7085.0
knapsack_items-90,2,3600.003,0.003,0.0,0.436,0.0,1.0,0.0,1.0,72659820.0
sokoban_New70,2,0.028,0.212,0.0,0.828,1.0,1.0,0.0,0.0,8.0
blockedqueens-strong_blockedqueens501642418198,2,7.425,0.023,0.0,1.495,0.0,0.0,0.0,0.0,39342.0
carSequencing_36,2,3601.473,5.248,0.0,9.384,1.0,0.0,0.0,1.0,4254688.0
killer_16-sol36,2,0.218,4.792,0.0,6.231,1.0,1.0,0.0,0.0,427.0
grocery_grocery,baseline,0.036,,0.0,0.299,,1.0,0.0,0.0,412.0
blackhole_PN-99,2,1.138,0.251,0.0,5.619,1.0,1.0,0.0,0.0,11193.0
JPEncoding_data1000,baseline,3601.938,,0.0,19.029,,1.0,0.0,1.0,1301586.0
carSequencing_23,baseline,4.149,,0.0,4.18,,1.0,0.0,0.0,72834.0
blackhole_PN-30,baseline,37.712,,0.0,4.594,,1.0,0.0,0.0,314959.0
blockedqueens_blockedqueens281449793685,baseline,1.173,,0.0,0.759,,0.0,0.0,0.0,5624.0
sendMoreMoney_sendMoreMoney,baseline,0.001,,0.0,0.186,,1.0,0.0,0.0,1.0
Bombastic_Bombastic30,baseline,0.001,,0.0,1.471,,1.0,0.0,0.0,1.0
blockedqueens-strong_blockedqueens281449791337,baseline,0.251,,0.0,0.872,,1.0,0.0,0.0,3897.0
opd_puget6,2,2.366,1.482,0.0,3.85,1.0,1.0,0.0,0.0,18008.0
blockedqueens_blockedqueens481721297189,baseline,1.199,,0.0,0.832,,1.0,0.0,0.0,9920.0
RamseyNumbers_04-05-01-SAT,2,0.0,0.0,0.0,0.168,0.0,1.0,0.0,0.0,1.0
golfers3_ord06-13-7-2,2,1.212,5.7,0.0,16.269,1.0,1.0,0.0,0.0,1472.0
molnars_molnars-2-4,2,0.005,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0
opd_lebbah_et_al_19_20_9,2,2.32,0.928,0.0,3.981,1.0,1.0,0.0,0.0,32882.0
carSequencing_38,2,48.486,4.796,0.0,9.154,1.0,1.0,0.0,0.0,158759.0
quasiGroup3Idempotent_quasiGroupX_20,2,,,0.0,1200.002,1.0,,1.0,,
solitaireBattleship_solitaire_battleship1,2,0.001,0.0,0.0,1.427,0.0,1.0,0.0,0.0,1.0
futoshiki_futoshiki3,baseline,0.0,,0.0,0.238,,1.0,0.0,0.0,1.0
quasiGroup7_quasiGroupX_14,2,3600.066,0.365,0.0,2.879,1.0,0.0,0.0,1.0,5030997.0
killer_16-sol7,baseline,1.451,,0.0,1.526,,1.0,0.0,0.0,12288.0
RamseyNumbers_03-04-01-SAT,baseline,0.0,,0.0,0.158,,1.0,0.0,0.0,1.0
opd_bibdline1,baseline,157.524,,0.0,3.555,,1.0,0.0,0.0,1854436.0
Bombastic_Bombastic34,2,0.0,0.0,0.0,1.71,0.0,1.0,0.0,0.0,1.0
sonet_sonet7,baseline,163.927,,0.0,0.659,,0.0,0.0,0.0,612139.0
