Problem,Policy,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars,TabulationTime,TabulationActivated
futoshiki_futoshiki43,baseline,0.0,0.0,620.0,0.0,0.48,1.0,0.0,0.0,10.0,102.0,,
blockedqueens_blockedqueens481721303889,2,0.0,0.16,24853.0,0.0,1.574,0.0,0.0,0.0,6817.0,7074.0,0.177,1.0
carSequencing_38,2,0.0,3.83,3095947.0,0.0,14.544,1.0,0.0,0.0,33807.0,967738.0,4.699,1.0
RamseyNumbers_02-09-01-SAT,baseline,0.0,0.0,0.0,0.0,0.183,1.0,0.0,0.0,0.0,0.0,,
blackhole_PN-31,baseline,0.0,1.22,293835.0,0.0,5.54,1.0,0.0,0.0,34242.0,22635.0,,
blockedqueens_blockedqueens481721343626,baseline,0.0,1.27,25794.0,0.0,1.732,1.0,0.0,0.0,59056.0,7259.0,,
blockedqueens_blockedqueens281449841619,baseline,0.0,0.03,9109.0,0.0,1.107,1.0,0.0,0.0,1432.0,2632.0,,
knapsack_items-71,2,0.0,1393.6899999999998,1802618.0,0.0,7.064,1.0,0.0,0.0,3094305.0,8633.0,0.002,0.0
blockedqueens-strong_blockedqueens481721303889,baseline,0.0,0.08,5865.0,0.0,1.749,0.0,0.0,0.0,3886.0,1722.0,,
blockedqueens-strong_blockedqueens501642414479,baseline,0.0,0.74,6513.0,0.0,1.509,0.0,0.0,0.0,45835.0,1912.0,,
opd_flener_et_al_tab5_11_11_05,baseline,0.0,0.05,10211.0,0.0,1.627,1.0,0.0,0.0,5169.0,2609.0,,
quasiGroup5Idempotent_quasiGroupX_14,baseline,0.0,89.7,107824.0,0.0,3.386,0.0,0.0,0.0,2495814.0,11725.0,,
blockedqueens-strong_blockedqueens481721285722,2,0.0,1.94,6439.0,0.0,1.403,1.0,0.0,0.0,113729.0,1888.0,0.021,0.0
blockedqueens-strong_blockedqueens501642441982,baseline,0.0,5.57,6734.0,0.0,1.904,0.0,0.0,0.0,224283.0,1946.0,,
sudoku_sudoku28,2,0.0,0.0,162.0,0.0,0.608,1.0,0.0,0.0,2.0,35.0,0.002,0.0
blockedqueens_blockedqueens281449798451,baseline,0.0,0.06,9222.0,0.0,1.036,1.0,0.0,0.0,2265.0,2655.0,,
sedfnofix_28_4_C14xC2_4_3_1,baseline,0.0,657.32,412143.0,0.0,16.177,0.0,0.0,0.0,1354181.0,118768.0,,
blockedqueens-strong_blockedqueens281449799171,2,0.0,0.01,3505.0,0.0,1.139,1.0,0.0,0.0,599.0,1002.0,0.003,0.0
pegSolitaireTable_pegSolitaire4_47,2,0.0,169.81,456752.0,0.0,3.88,1.0,0.0,0.0,2466766.0,127518.0,0.082,0.0
knapsack_items-94,baseline,0.0,1574.32,2691613.0,0.0,5.631,1.0,0.0,0.0,2696595.0,11674.0,,
killer_16-sol46,baseline,0.0,0.05,47259.0,0.0,2.523,1.0,0.0,0.0,2300.0,8410.0,,
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens27,2,0.0,60.43999999999999,16541.0,0.0,3.368,1.0,0.0,0.0,2237350.0,929.0,0.171,1.0
sokoban_Medium4,baseline,0.0,0.01,3804.0,0.0,0.717,1.0,0.0,0.0,149.0,553.0,,
blockedqueens-strong_blockedqueens501642426388,2,0.0,3.48,6739.0,0.0,1.59,0.0,0.0,0.0,170357.0,2030.0,0.022,0.0
pegSolitaireTable_pegSolitaire4_32,2,0.0,12.32,454396.0,0.0,3.402,1.0,0.0,0.0,263644.0,126872.0,0.071,0.0
pegSolitaireState_pegSolitaire2_46,2,0.0,268.12,498909.0,0.0,8.018,1.0,0.0,0.0,5338299.0,139381.0,0.852,1.0
handball7_04,baseline,0.0,4.12,283579.0,0.0,10.586,1.0,0.0,0.0,178191.0,21566.0,,
sokoban_New89,baseline,0.0,0.01,5521.0,0.0,0.613,1.0,0.0,0.0,166.0,808.0,,
blockedqueens_blockedqueens501642402365,baseline,0.0,11.46,28823.0,0.0,1.527,0.0,0.0,0.0,484318.0,8221.0,,
golfers2_ord07-15-8-2,2,0.0,0.48,47955.0,0.0,10.847,1.0,0.0,0.0,37408.0,13305.0,0.297,0.0
graphColouring_fpsol2,2,0.0,0.0,498.0,0.0,3.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opd_flener_et_al_tab3_19_20_09,2,0.0,2991.19,120145.0,0.0,6.784,1.0,0.0,0.0,106726069.0,28962.0,1.296,1.0
bibd_puget8,2,0.0,0.46,169313.0,0.0,9.053,1.0,0.0,0.0,10266.0,25669.0,1.388,1.0
Bombastic_Bombastic32,2,0.0,0.0,0.0,0.0,1.099,1.0,0.0,0.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens481721296090,2,0.0,1.29,26499.0,0.0,1.94,0.0,0.0,0.0,51048.0,7511.0,0.237,1.0
handball7_02,2,0.0,3.92,285144.0,0.0,10.623,1.0,0.0,0.0,133650.0,23048.0,0.877,1.0
coprime_25,2,,,,0.0,1200.003,,1.0,,,,,0.0
blockedqueens_blockedqueens561860436781,2,0.0,1.54,32914.0,0.0,1.834,0.0,0.0,0.0,74371.0,9524.0,0.195,1.0
PlottingModelB_5_5_3_seed15_16_8,2,,,,0.0,1200.002,,1.0,,,,,1.0
sokoban_New13,baseline,0.0,0.0,3393.0,0.0,0.536,1.0,0.0,0.0,13.0,557.0,,
blockedqueens-strong_blockedqueens281449841964,2,0.0,0.04,2980.0,0.0,1.04,0.0,0.0,0.0,2560.0,782.0,0.003,0.0
killer_16-sol15,2,0.0,0.0,0.0,0.0,1.603,1.0,0.0,0.0,0.0,0.0,0.0,0.0
killer_16-sol99,baseline,0.0,0.09,48679.0,0.0,2.668,1.0,0.0,0.0,4801.0,8359.0,,
quasiGroup3Idempotent_quasiGroupX_12,baseline,0.0,77.77,97790.0,0.0,3.77,1.0,0.0,0.0,1469321.0,27830.0,,
blackhole_PN-15,baseline,0.0,8.24,288575.0,0.0,5.36,1.0,0.0,0.0,256560.0,22304.0,,
blockedqueens-strong_blockedqueens481721326070,2,0.0,1.29,6440.0,0.0,1.9,1.0,0.0,0.0,61213.0,1902.0,0.012,0.0
quasiGroup5NonIdempotent_quasiGroupX_10,baseline,0.0,48.2,41381.0,0.0,2.164,1.0,0.0,0.0,1753073.0,5518.0,,
blackhole_PN-27,2,0.0,3.18,40264.0,0.0,6.279,1.0,0.0,0.0,172513.0,10703.0,0.243,1.0
nurse_nurse_8,baseline,0.0,0.0,29.0,0.0,2.191,0.0,0.0,0.0,0.0,0.0,,
knapsack_items-97,2,0.0,1915.89,5296577.0,0.0,10.501,1.0,0.0,0.0,1705271.0,15411.0,0.003,0.0
blackhole_PN-10,baseline,0.0,0.4,287070.0,0.0,5.706,1.0,0.0,0.0,18256.0,22172.0,,
blockedqueens-strong_blockedqueens481721305414,baseline,0.0,0.9,6429.0,0.0,1.438,0.0,0.0,0.0,50280.0,1918.0,,
blockedqueens_blockedqueens481721283013,baseline,0.0,1.08,26034.0,0.0,1.646,1.0,0.0,0.0,46695.0,7420.0,,
sudoku_sudoku11,baseline,0.0,0.0,0.0,0.0,0.491,1.0,0.0,0.0,0.0,0.0,,
carSequencing_77,baseline,0.0,10.33,288070.0,0.0,9.955,1.0,0.0,0.0,434249.0,32114.0,,
killer_16-sol38,2,0.0,0.22,124624.0,0.0,5.678,1.0,0.0,0.0,6203.0,28742.0,3.324,1.0
quasiGroup5Idempotent_quasiGroupX_24,2,0.0,2132.64,1029393.0,0.0,143.956,0.0,0.0,0.0,55499158.0,77509.0,131.75,1.0
graphColouring_mulsol_i_2,2,0.0,7.68,859080.0,0.0,15.496,1.0,0.0,0.0,968262.0,155145.0,0.02,0.0
blockedqueens_blockedqueens281449788117,baseline,0.0,0.07,9030.0,0.0,1.126,0.0,0.0,0.0,3070.0,2589.0,,
sudoku_sudoku,2,0.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.001,0.0
coprime_10,2,0.0,0.12000000000000001,7619.0,0.0,28.151,1.0,0.0,0.0,182.0,962.0,4.285,1.0
knights2_15b,2,0.0,3.8,12257674.0,0.0,34.603,0.0,0.0,0.0,0.0,181713.0,3.902,1.0
futoshiki_futoshiki22,2,0.0,0.0,23.0,0.0,0.256,0.0,0.0,0.0,0.0,12.0,0.0,0.0
futoshiki_futoshiki30,2,0.0,0.0,26.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramsey2_02-02-01-SAT,2,0.0,0.0,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bibd_bibd-miguel-hard,2,0.0,0.38,60813.0,0.0,3.863,1.0,0.0,0.0,15575.0,10357.0,0.59,1.0
sokoban_New87,baseline,0.0,0.0,1469.0,0.0,0.488,1.0,0.0,0.0,9.0,283.0,,
opd_flener_et_al_tab6_10_31_22,baseline,0.0,312.08,38743.0,0.0,2.883,1.0,0.0,0.0,13440952.0,8493.0,,
sudoku_sudoku31,2,0.0,0.0,0.0,0.0,0.484,1.0,0.0,0.0,0.0,0.0,0.005,0.0
blockedqueens-strong_blockedqueens501642421871,2,0.0,1.51,6779.0,0.0,1.699,1.0,0.0,0.0,75737.0,1983.0,0.032,0.0
efpa_24,2,0.0,927.74,52728.0,0.0,4.849,1.0,0.0,0.0,23699990.0,8367.0,1.463,1.0
ramsey2_04-05-01-SAT,baseline,0.0,0.0,0.0,0.0,0.179,1.0,0.0,0.0,0.0,0.0,,
knapsack_items-69,2,0.0,926.1600000000001,1630370.0,0.0,6.23,1.0,0.0,0.0,1695892.0,8611.0,0.002,0.0
blackhole_PN-87,2,0.0,0.0,103.0,0.0,1.874,0.0,0.0,0.0,0.0,0.0,0.001,0.0
coprime_8,baseline,0.0,0.11,63090.0,0.0,5.122,1.0,0.0,0.0,52.0,21039.0,,
sokoban_New97,baseline,0.0,0.0,1622.0,0.0,0.478,1.0,0.0,0.0,15.0,273.0,,
bibd_bibd-miguel-hard,baseline,0.0,0.1,50483.0,0.0,2.874,1.0,0.0,0.0,11551.0,7604.0,,
pegSolitaireTable_pegSolitaire4_10,baseline,0.0,2.88,452923.0,0.0,3.505,1.0,0.0,0.0,85640.0,126448.0,,
quasiGroup6_quasiGroupX_12,2,0.0,570.06,154896.0,0.0,2.915,0.0,0.0,0.0,5126716.0,18889.0,0.341,1.0
pegSolitaireAction_pegSolitaire13,2,0.0,205.2,116582.0,0.0,27.492,1.0,0.0,0.0,9682439.0,10139.0,7.175,1.0
knapsack_items-78,baseline,0.0,3313.89,1103374.0,0.0,4.688,1.0,0.0,0.0,13335907.0,7607.0,,
blockedqueens_blockedqueens501642458368,baseline,0.0,1.43,27089.0,0.0,1.63,0.0,0.0,0.0,52503.0,7722.0,,
blockedqueens_blockedqueens281449838235,2,0.0,0.01,9392.0,0.0,1.408,0.0,0.0,0.0,764.0,2686.0,0.188,1.0
discreteTomography_2,2,0.0,0.0,0.0,0.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
blackhole_PN-82,baseline,0.0,0.0,103.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,,
killer_16-sol19,2,0.0,0.0,91.0,0.0,1.332,1.0,0.0,0.0,3.0,24.0,0.043,1.0
blockedqueens-strong_blockedqueens281449799895,baseline,0.0,0.01,3116.0,0.0,1.102,0.0,0.0,0.0,672.0,846.0,,
blockedqueens_blockedqueens561860505104,2,0.0,0.0,169.0,0.0,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens561860555812,baseline,0.0,1.64,7127.0,0.0,2.042,0.0,0.0,0.0,79055.0,2153.0,,
opd_flener_et_al_tab2_10_30_09,baseline,0.0,6.53,35739.0,0.0,2.659,1.0,0.0,0.0,552587.0,7182.0,,
blockedqueens_blockedqueens501642452489,baseline,0.0,1.08,27712.0,0.0,1.553,1.0,0.0,0.0,50255.0,7852.0,,
tickTackToe_tickTackToe7,2,0.0,0.05,137628.0,0.0,2.585,1.0,0.0,0.0,52.0,15527.0,0.982,1.0
PlottingModelA_5_5_3_seed15_17_4,baseline,0.0,0.03,38579.0,0.0,11.262,1.0,0.0,0.0,305.0,5649.0,,
knights2_06a,baseline,0.0,0.3,67858.0,0.0,1.962,1.0,0.0,0.0,45837.0,4641.0,,
blockedqueens_blockedqueens481721248152,2,0.0,0.61,26879.0,0.0,1.863,1.0,0.0,0.0,19985.0,7607.0,0.21,1.0
knights_08b,baseline,0.0,8.17,43175.0,0.0,2.178,1.0,0.0,0.0,966041.0,10090.0,,
killer_16-sol12,2,0.0,0.62,87989.0,0.0,5.829,1.0,0.0,0.0,18201.0,20727.0,2.528,1.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens285,2,0.0,1.3599999999999999,8682.0,0.0,2.577,1.0,0.0,0.0,91311.0,598.0,0.112,1.0
knights_07a,2,0.0,0.13,17242.0,0.0,1.663,1.0,0.0,0.0,26510.0,4690.0,0.245,1.0
handball7_03,2,0.0,3.67,284521.0,0.0,11.643,1.0,0.0,0.0,125271.0,22917.0,0.903,1.0
Bombastic_Bombastic8,baseline,0.0,0.0,0.0,0.0,1.597,1.0,0.0,0.0,0.0,0.0,,
blockedqueens-strong_blockedqueens481721349794,baseline,0.0,1.21,5942.0,0.0,1.654,0.0,0.0,0.0,58862.0,1748.0,,
blockedqueens_blockedqueens501642453995,baseline,0.0,0.93,27896.0,0.0,1.637,1.0,0.0,0.0,45157.0,7894.0,,
blockedqueens-strong_blockedqueens481721325133,2,0.0,0.08,5477.0,0.0,1.717,0.0,0.0,0.0,4032.0,1637.0,0.005,0.0
blockedqueens-strong_blockedqueens281449793685,2,0.0,0.02,3286.0,0.0,1.115,0.0,0.0,0.0,1083.0,969.0,0.042,0.0
blockedqueens_blockedqueens281449802061,2,0.0,0.06,9080.0,0.0,1.23,1.0,0.0,0.0,2503.0,2625.0,0.152,1.0
blockedqueens-strong_blockedqueens281449798304,2,0.0,0.1,3531.0,0.0,1.144,0.0,0.0,0.0,5410.0,1067.0,0.003,0.0
pegSolitaireTable_pegSolitaire3_43,2,0.0,3.95,473565.0,0.0,3.565,1.0,0.0,0.0,98544.0,132229.0,0.067,0.0
molnars_molnars-3-8,2,,,,0.0,1200.007,,1.0,,,,0.167,1.0
