Problem,Policy,SolverMemOut,SolverTotalTime,SATClauses,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
blockedqueens_blockedqueens281449838896,2,0.0,0.02,8580.0,0.144,0.0,1.191,1.0,1.0,0.0,0.0,984.0,2495.0
AccordionTable_cards_14_03,baseline,0.0,2.07,66114.0,,0.0,1.653,,0.0,0.0,0.0,79646.0,8430.0
carSequencing_48,2,0.0,2.95,3328701.0,5.339,0.0,17.041,1.0,1.0,0.0,0.0,55755.0,30140.0
pegSolitaireState_pegSolitaire4_4,2,0.0,8.8,1015416.0,0.906,0.0,8.285,1.0,1.0,0.0,0.0,1052755.0,12415.0
sudoku_sudoku50,2,0.0,0.0,0.0,0.001,0.0,0.531,0.0,1.0,0.0,0.0,0.0,0.0
Bombastic_Bombastic52,2,0.0,0.0,0.0,0.0,0.0,1.269,0.0,1.0,0.0,0.0,0.0,0.0
opd_medium_10_100_30,2,0.0,320.83000000000004,371512.0,0.885,0.0,8.818,1.0,1.0,0.0,0.0,13812589.0,50990.0
bibd-implied_bibdline2,2,0.0,0.58,396062.0,1.609,0.0,9.933,1.0,1.0,0.0,0.0,7786.0,36841.0
opd_puget11,2,0.0,0.74,111393.0,1.194,0.0,5.237,1.0,1.0,0.0,0.0,19218.0,22058.0
blockedqueens_blockedqueens501642420886,baseline,0.0,4.64,26724.0,,0.0,1.427,,0.0,0.0,0.0,227500.0,7486.0
blockedqueens_blockedqueens281449800045,baseline,0.0,0.04,9345.0,,0.0,1.052,,1.0,0.0,0.0,1863.0,2662.0
nlinkedseq_nlinkedseq-70-50,2,0.0,8.2,26150.0,0.175,0.0,1.205,1.0,1.0,0.0,0.0,518535.0,6840.0
discreteTomography_3,2,0.0,0.02,715.0,0.018,0.0,0.418,0.0,0.0,0.0,0.0,2262.0,160.0
quasiGroup5Idempotent_quasiGroupX_10,2,0.0,23.14,914476.0,24.27,0.0,27.793,1.0,1.0,0.0,0.0,913739.0,23816.0
golfers1_ord01-3-2-2,2,0.0,0.0,0.0,0.0,0.0,0.581,0.0,1.0,0.0,0.0,0.0,0.0
opd_flener_et_al_tab7_14_35_10,baseline,0.0,0.42000000000000004,91266.0,,0.0,5.002,,1.0,0.0,0.0,68134.0,17183.0
golfers2_ord04-9-5-2,baseline,0.0,0.01,5895.0,,0.0,2.637,,1.0,0.0,0.0,784.0,1728.0
semigroup_semigroup8,2,0.0,0.13,217848.0,0.563,0.0,3.772,1.0,1.0,0.0,0.0,8187.0,16248.0
ramsey1_03-06-02-SAT,2,0.0,0.0,1.0,0.0,0.0,0.319,0.0,1.0,0.0,0.0,0.0,1.0
sonet2_sonet4,2,0.0,0.45,6569.0,0.046,0.0,1.234,0.0,1.0,0.0,0.0,31642.0,1113.0
bpmp_7661,2,0.0,148.21,369433.0,1.906,0.0,4.657,1.0,1.0,0.0,0.0,1611022.0,56714.0
ramsey1_03-08-02-SAT,baseline,0.0,0.0,1.0,,0.0,0.441,,1.0,0.0,0.0,0.0,1.0
sonet_sonet2-4,baseline,0.0,0.37,3748.0,,0.0,0.804,,1.0,0.0,0.0,32465.0,674.0
carSequencing_70,baseline,0.0,0.32,282882.0,,0.0,8.794,,1.0,0.0,0.0,23540.0,31224.0
blockedqueens_blockedqueens501642454142,baseline,0.0,0.0,149.0,,0.0,0.959,,0.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens561860636816,baseline,0.0,0.58,31739.0,,0.0,1.795,,1.0,0.0,0.0,16764.0,9159.0
handball7_13,baseline,0.0,4.17,281730.0,,0.0,11.682,,1.0,0.0,0.0,165008.0,21351.0
blockedqueens_blockedqueens481721310106,baseline,0.0,1.28,25149.0,,0.0,1.63,,1.0,0.0,0.0,62215.0,7100.0
sokoban_New18,baseline,0.0,0.0,115.0,,0.0,0.515,,1.0,0.0,0.0,2.0,35.0
magicSequence_magicSequence420,2,0.0,0.21,517848.0,1.734,0.0,1042.461,1.0,1.0,0.0,0.0,2.0,11311.0
blockedqueens_blockedqueens561860531142,2,0.0,0.0,169.0,0.0,0.0,1.162,0.0,0.0,0.0,0.0,0.0,0.0
sokoban_sokobanMedium1,baseline,0.0,0.0,3688.0,,0.0,0.707,,1.0,0.0,0.0,209.0,545.0
golfers3_ord13-5-8-3,baseline,0.0,0.06,55078.0,,0.0,11.67,,1.0,0.0,0.0,1933.0,13038.0
Bombastic_Bombastic26,2,0.0,0.0,0.0,0.0,0.0,1.56,0.0,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens481721271480,2,0.0,1.24,6467.0,0.023,0.0,1.715,0.0,1.0,0.0,0.0,64353.0,1903.0
futoshiki_futoshiki6,2,0.0,0.0,23.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.0
nlinkedopt_opt16,baseline,0.0,0.2,10565.0,,0.0,0.59,,1.0,0.0,0.0,25546.0,1277.0
blockedqueens-strong_blockedqueens281449849062,baseline,0.0,0.06,3519.0,,0.0,0.825,,0.0,0.0,0.0,4421.0,1022.0
killer_16-sol84,2,0.0,0.43,299096.0,3.27,0.0,6.422,1.0,1.0,0.0,0.0,20936.0,10851.0
blockedqueens_blockedqueens481721259269,baseline,0.0,1.4,25197.0,,0.0,1.697,,0.0,0.0,0.0,50014.0,7100.0
pegSolitaireAction_pegSolitaire2_14,2,0.0,735.81,121454.0,10.383,0.0,29.811,1.0,1.0,0.0,0.0,16757589.0,10203.0
futoshiki_futoshiki7,baseline,0.0,0.0,32.0,,0.0,0.262,,0.0,0.0,0.0,0.0,29.0
quasiGroup3NonIdempotent_quasiGroupX_12,2,0.0,393.13,2345435.0,5.255,0.0,13.248,1.0,1.0,0.0,0.0,11495813.0,45189.0
sokoban_New28,2,0.0,0.09,219852.0,0.594,0.0,1.921,1.0,1.0,0.0,0.0,2886.0,1005.0
killer_16-sol97,baseline,0.0,0.13,40635.0,,0.0,2.309,,1.0,0.0,0.0,9774.0,7440.0
graphColouring_1-FullIns_3,baseline,0.0,0.0,4680.0,,0.0,0.807,,1.0,0.0,0.0,1596.0,801.0
quasiGroup3Idempotent_quasiGroupX_23,2,,,,,0.0,1200.002,1.0,,1.0,,,
pegSolitaireTable_pegSolitaire15,2,0.0,13.12,445733.0,0.059,0.0,3.801,0.0,1.0,0.0,0.0,2093892.0,13206.0
blackhole_PN-97,2,0.0,0.04,40200.0,0.283,0.0,4.796,1.0,1.0,0.0,0.0,1444.0,10698.0
sendMoreMoney_sendMoreMoney,2,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens561860538387,baseline,0.0,11.18,7297.0,,0.0,1.885,,1.0,0.0,0.0,563185.0,2182.0
graphColouring_fpsol2,baseline,0.0,0.0,498.0,,0.0,3.34,,0.0,0.0,0.0,0.0,0.0
knights2_12b,baseline,0.0,2239.94,3316909.0,,0.0,13.302,,1.0,0.0,0.0,138740345.0,61231.0
