Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
blackhole_PN-100,2,3591.14,0.235,0.0,3586.04,4.581,1.0,0.0,0.0,74710619.0,1.0,0.0,0.010837
golfers2_ord04-9-5-2,2,0.047596,0.061,0.0,0.037738,2.551,0.0,1.0,0.0,53.0,0.0,1.0,0.003586
pegSolitaireAction_pegSolitaire3_3,2,62.8213,10.252,0.0,61.8596,28.5,1.0,1.0,0.0,133564.0,0.0,1.0,0.072575
quasiGroup6_quasiGroupX_21,baseline,3590.37,,0.0,3589.82,5.427,,0.0,0.0,10713481.0,1.0,0.0,0.003197
killer_16-sol61,2,57.6045,3.266,0.0,57.2844,4.536,1.0,1.0,0.0,400641.0,0.0,1.0,0.019595
pegSolitaireTable_pegSolitaire2_27,2,6.31108,0.057,0.0,6.17929,2.149,0.0,1.0,0.0,25161.0,0.0,1.0,0.014549
sudoku_sudoku45,2,0.040816,0.001,0.0,0.040818,0.51,0.0,1.0,0.0,2.0,0.0,1.0,0.0
opd_flener_et_al_tab7_8_35_10,2,117.872,0.235,0.0,117.86,1.773,1.0,1.0,0.0,18541891.0,0.0,9.0,0.001775
blockedqueens_blockedqueens281449788307,2,0.104804,0.14,0.0,0.08704,0.876,1.0,1.0,0.0,707.0,0.0,1.0,0.001062
graphColouring_miles250,2,0.016791,0.024,0.0,0.003675,0.841,0.0,1.0,0.0,234.0,0.0,2.0,0.000816
sudoku_sudoku5,2,0.039146,0.002,0.0,0.039148,0.487,0.0,1.0,0.0,1.0,0.0,1.0,0.0
quasiGroup4NonIdempotent_quasiGroupX_19,2,,,0.0,,1200.002,1.0,,1.0,,,,
quasiGroup4Idempotent_quasiGroupX_24,2,,,0.0,,1200.002,1.0,,1.0,,,,
blackhole_PN-30,2,5.07402,0.225,0.0,0.551818,5.882,1.0,1.0,0.0,7969.0,0.0,1.0,0.0145
blockedqueens_blockedqueens281449850700,2,0.086966,0.129,0.0,0.074068,0.877,1.0,0.0,0.0,1012.0,0.0,0.0,4.9e-05
blockedqueens_blockedqueens501642456636,2,2585.69,0.214,0.0,2585.6,1.281,1.0,1.0,0.0,17541253.0,0.0,1.0,0.002899
bpmp_412,2,141.806,1.795,0.0,141.768,3.153,1.0,1.0,0.0,655905.0,0.0,1.0,0.003423
opd_flener_et_al_tab7_6_35_10,baseline,0.012931,,0.0,0.012138,0.864,,1.0,0.0,11054.0,0.0,9.0,0.0
sonet_sonet4-4,2,3590.85,0.027,0.0,3590.85,0.706,0.0,1.0,0.0,812610487.0,1.0,1.0,0.000192
blockedqueens-strong_blockedqueens481721248405,baseline,1401.37,,0.0,1401.31,1.226,,1.0,0.0,11439435.0,0.0,1.0,0.00134
blackhole_PN-75,baseline,3590.78,,0.0,3590.37,4.956,,0.0,0.0,234748538.0,1.0,0.0,0.007643
blockedqueens_blockedqueens481721329185,baseline,826.404,,0.0,826.37,0.969,,0.0,0.0,9244733.0,0.0,0.0,0.0
opd_flener_et_al_tab5_16_08_03,2,0.026509,0.205,0.0,0.010379,1.61,1.0,1.0,0.0,450.0,0.0,2.0,0.003254
opd_small_bibd_13_26_06,baseline,0.210015,,0.0,0.199493,1.837,,1.0,0.0,58480.0,0.0,6.0,0.002107
blockedqueens-strong_blockedqueens561860521176,baseline,1807.35,,0.0,1807.27,1.421,,1.0,0.0,11224470.0,0.0,1.0,0.002391
futoshiki_futoshiki17,baseline,0.000813,,0.0,2.6e-05,0.213,,0.0,0.0,0.0,0.0,0.0,9.4e-05
blockedqueens-strong_blockedqueens281449838235,2,0.128986,0.022,0.0,0.108791,1.053,0.0,0.0,0.0,1417.0,0.0,0.0,0.000803
